CARD.  1. CARD ONE 
Q.54. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  01. 18 YEARS OR YOUNGER 02. 19 03. 20 04. 21 05. 22 06. 23 07. 24 08. 25 09. 26 THROUGH 29 YEARS 10. 30 THROUGH 34 YEARS 11. 35 YEARS OR OVER 12. NO ANSWER 00. NO CODE OR NO DATA 
Q.55. HOW LONG HAVE YOU BEEN OVERSEAS*  1. SIX MONTHS OR LESS 2. MORE THAN 6 MONTHS BUT NOT OVER 1 YEAR 3. MORE THAN 1 YEAR BUT NOT OVER 1 1/2 YEARS 4. MORE THAN 1 1/2 YEARS 0. NO ANSWER 
"Q.56. AFTER ENTERING THE ARMY, BUT BEFORE YOU WENT INTO COMBAT, DID YOU EVER SERVE ANY TIME IN THE GUARDHOUSE*  1. YES 2. NO 0. NO ANSWER "
"Q.57A. WHEN YOU WERE FIRST SENT INTO COMBAT, WERE YOU ASSIGNED TO A JOB OR DUTY FOR WHICH ...*  1. YOU WERE THOROUGHLY TRAINED 2. YOU HAD SOME, BUT NOT ENOUGH TRAINING 3. YOU HAD NO TRAINING 0. NO ANSWER "
Q.57B. IS THERE ANY TYPE OF TRAINING YOU THINK NEW TROOPS SHOULD BE GETTING MORE OF BEFORE BEING SENT INTO YOUR OUTFIT AS REPLACEMENTS*  1. YES 2. NO 0. NO ANSWER 
"Q.57C. IS THERE ANY TYPE OF TRAINING WHICH YOU THINK NEW TROOPS GET TOO MUCH OF BECAUSE IT DOES NOT HELP IN BATTLE*  1. YES 2. NO, THEY NEED EVERYTHING THEY GET 3. NO ANSWER 0. NO CODE OR NO DATA "
"Q.58. WHILE YOU WERE AT THE BATTLEFRONT, DID YOUR LEADERS EXPLAIN ENOUGH OF THE COMBAT MISSION OF YOUR SQUAD TO YOU SO THAT YOU KNEW JUST WHAT YOU PERSONALLY HAD TO DO*  1. NO, THEY COULD HAVE EXPLAINED A GREAT DEAL MORE 2. NO, THEY COULD HAVE EXPLAINED A LITTLE MORE 3. YES, THEY EXPLAINED AS MUCH AS THEY COULD 0. NO ANSWER "
"Q.59. IF YOU WERE GIVEN A SQUAD OF MEN AND TOLD TO TAKE CHARGE OF THEM ALL BY YOURSELF IN A COMBAT MISSION UNDER FIRE, HOW WELL DO YOU THINK YOU WOULD DO*  1. VERY WELL 2. FAIRLY WELL 3. NOT VERY WELL 4. NO ANSWER 0. NO CODE OR NO DATA "
"Q.60A. BEFORE YOU WENT INTO COMBAT FOR THE FIRST TIME, HOW MUCH CONFIDENCE DID YOU HAVE IN YOURSELF*  1. HAD A LOT OF CONFIDENCE IN MYSELF 2. HAD A FAIR AMOUNT OF CONFIDENCE IN MYSELF 3. HAD LITTLE CONFIDENCE IN MYSELF 4. HAD NO CONFIDENCE IN MYSELF 0. NO ANSWER "
"Q.60B. DID YOU HAVE MORE CONFIDENCE OR LESS CONFIDENCE IN YOURSELF, THE MORE TIMES YOU WENT INTO COMBAT*  1. HAD MORE CONFIDENCE, THE MORE TIMES I WENT INTO COMBAT 2. HAD LESS CONFIDENCE, THE MORE TIMES I WENT INTO COMBAT 3. HAD ABOUT THE SAME AMOUNT OF CONFIDENCE IN MYSELF, THE MORE TIMES I WENT INTO COMBAT 4. UNDECIDED 0. NO ANSWER "
"Q.61. IF THE GERMANS WERE TO OFFER TO STOP FIGHTING NOW AND TO GIVE UP ALL THE COUNTRIES AND TERRITORY THEY HAVE TAKEN OVER, WHAT DO YOU THINK WE SHOULD DO*  1. WE SHOULD ACCEPT THE OFFER AND STOP FIGHTING NOW 2. WE SHOULD CONSIDER THE OFFER AND TRY TO WORK OUT SOME PEACE TERMS WITH THEM 3. WE SHOULD TURN DOWN THE OFFER AND KEEP ON FIGHTING UNTIL THEY GIVE UP COMPLETELY 4. UNDECIDED 0. NO ANSWER "
"Q.62. IF THE JAPANESE WERE TO OFFER TO STOP FIGHTING NOW AND TO GIVE UP ALL THE COUNTRIES AND TERRITORY THEY HAVE TAKEN OVER, WHAT DO YOU THINK WE SHOULD DO*  1. WE SHOULD ACCEPT THE OFFER AND STOP FIGHTING NOW 2. WE SHOULD CONSIDER THE OFFER AND TRY TO WORK OUT SOME PEACE TERMS WITH THEM 3. WE SHOULD TURN DOWN THE OFFER AND KEEP ON FIGHTING UNTIL THEY GIVE UP COMPLETELY 4. UNDECIDED 0. NO ANSWER "
Q.63. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOST*  1. FINANCIAL MATTERS 2. NOT CHOSEN 
Q.63. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOST*  392 1. MY HEALTH 1588 2. NOT CHOSEN 
Q.63. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOST*  415 1. THE PHYSICAL DANGER I MIGHT BE FACED WITH BEFORE THE WAR IS OVER 1565 2. NOT CHOSEN 
Q.63. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOST*  102 1. THE PROGRESS OF THE WAR 1878 2. NOT CHOSEN 
Q.63. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOST*  392 1. WHAT IS GOING TO HAPPEN TO ME AFTER THE WAR 1588 2. NOT CHOSEN 
Q.63. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOST*  322 1. BEING A LONG WAY FROM HOME 1658 2. NOT CHOSEN 
Q.63. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOST*  448 1. MATTERS CONCERNING MY FAMILY OR FRIENDS BACK HOME 1532 2. NOT CHOSEN 
Q.63. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOST*  63 1. THE WAY I AM GETTING ALONG IN THE ARMY 1917 2. NOT CHOSEN 
Q.63. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOST*  38 1. NEWS ABOUT NATIONAL EVENTS IN THE U.S. 1942 2. NOT CHOSEN 
Q.63. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOST*  396 1. NOT KNOWING WHAT IS GOING TO HAPPEN NEXT 1584 2. NOT CHOSEN 
Q.63. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOST*  126 1. WHAT WILL HAPPEN IN THE U.S. AFTER THE WAR 1854 2. NOT CHOSEN 
Q.63. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOST*  253 1. WHETHER WE WILL GET WHAT WE ARE FIGHTING FOR 1727 2. NOT CHOSEN 
Q.63. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOST*  201 1. PURELY PERSONAL MATTERS NOT INCLUDED ABOVE 1779 2. NOT CHOSEN 
Q.63. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOST*  64 1. MORE THAN 2 CHECKED 1916 2. NOT CHOSEN 
Q.0. NOT USED  Y. COL. 71 NOT USED. 
Q.64. HOW DO YOU FEEL ABOUT THE JOB SPECIAL SERVICE DID FOR THE MEN WHEN THEY CAME OUT OF BATTLE*  1. USUALLY VERY GOOD 2. USUALLY PRETTY GOOD 3. USUALLY PRETTY BAD 4. USUALLY VERY BAD 0. NO ANSWER X. QUESTION 65 NOT CODED. 
"V.66. NEUROTIC PROGNOSTIC SCORE: E. DERIVED FROM QUESTIONS 39F, 39G, 40A-E, 41.  00. SCORE OF 0 - HIGH NUMBER SYMPTOMS 01. SCORE OF 1 02. SCORE OF 2 03. SCORE OF 3 04. SCORE OF 4 05. SCORE OF 5 06. SCORE OF 6 07. SCORE OF 7 08. SCORE OF 8 09. SCORE OF 9 10. SCORE OF 10 11. SCORE OF 11 12. SCORE OF 12 13. SCORE OF 13 14. SCORE OF 14 15. SCORE OF 15 16. SCORE OF 16 - LOW NUMBER SYMPTOMS "
"V.67. PSYCHONEUROTIC SCORE: E. DERIVED FROM QUESTIONS 10, 23, 24, 39A, 39B, 39C, 39D, 39E.  00. SCORE OF 0 - HIGH NUMBER SYMPTOMS 01. SCORE OF 1 02. SCORE OF 2 03. SCORE OF 3 04. SCORE OF 4 05. SCORE OF 5 06. SCORE OF 6 07. SCORE OF 7 08. SCORE OF 8 09. SCORE OF 9 10. SCORE OF 10 11. SCORE OF 11 12. SCORE OF 12 13. SCORE OF 13 14. SCORE OF 14 15. SCORE OF 15 16. SCORE OF 16 - LOW NUMBER SYMPTOMS "
V.68. NEUROPSYCHIATRIC SCREENING ADJUNCT SCORE: E. DERIVED FROM QUESTIONS 39A-E.  00. SCORE OF 0 - HIGH NUMBER SYMPTOMS 01. SCORE OF 1 02. SCORE OF 2 03. SCORE OF 3 04. SCORE OF 4 05. SCORE OF 5 06. SCORE OF 6 07. SCORE OF 7 08. SCORE OF 8 09. SCORE OF 9 10. SCORE OF 10 - LOW NUMBER SYMPTOMS 
"V.69. IDENTIFICATION OF OUTFITS:  01. COMPANY 1 (3RD BN., 169TH INF.) 02. COMPANY 2 (3RD BN., 169TH INF.) 03. COMPANY 3 (3RD BN., 169TH INF.) 04. COMPANY 4 (1ST BN., 169TH INF.) 05. COMPANY 5 (1ST BN., 172ND INF.) 06. COMPANY 6 (2ND BN., 172ND INF.) 07. COMPANY 7 (3RD BN., 172ND INF.) 08. COMPANY 8 (2ND BN., 103RD INF.) 09. COMPANY 9 (2ND BN., 103RD INF.) 10. COMPANY 10 (2ND BN., 103RD INF.) 11. 1ST BN., 169TH INF. 12. 2ND BN., 169TH INF. 13. HQ. AND ""SPARE PARTS"", 169TH INF. 14. 172ND INF. (3 BNS. PLUS HQ. AND ""SPARE PARTS"") 15. HQ. AND ""SPARE PARTS"", 103RD INF. 16. 3RD BN., 103RD INF. 17. 118TH BN., COMBAT ENGINEERS 18. 118TH MEDICAL BN. 19. DIVISION HQ., PLUS SPECIAL TROOPS (LESS BAND AND MP PLATOON) 20. 192ND F.A. BN. 21. 169TH F.A. BN. 22. 103RD F.A. BN. "
